doc_id,doc_char_count,n_chunks
4adfab37f736dbf5,0,0
4aee1e37a9ee80b6,102279,41
4af15f82825660a3,3841,2
4b4edd4037b56148,89453,36
4baf513290492630,6521,3
4c3c43da61ebfbd4,46948,19
4c64e28e0cdb694a,376170,151
4cea0cf1dc970a25,8209,4
4d2dbc4505a7a1f3,43628,18
4d46ab437e64b15c,353001,274
4dbe745b4bbbc37e,89446,50
4dddf0e4a4119458,30370,62
4deb23981d3010c8,63733,26
4df3297d3429f97a,20521,9
4df597e46fd71e02,4620,2
4e5543a392f40723,126173,51
4eb86a45589cd457,255516,147
4ed206395a26e55f,66161,27
4ef85cfdb7982874,6874,5
4f2e9722dfa47b99,333334,141
4fba1e0cac27b470,15182,7
5024a9441c404182,11144,5
503114d994769b1c,12805,6
50bac0adfc7b5a3e,134834,54
50e07aa31973a836,13060,6
51123b02fbbdeb5c,23856,27
511a5097d8e4715b,45337,27
51c2718834833009,20839,9
51c881bf5bd88556,89458,36
51fedb16642c9f59,41618,17
521d032d6c2f62bf,37706,34
52ac8b2e69358d8c,12400,5
5356c3a4c58cd2eb,447654,180
535b69b0d9d92ccf,149427,69
54156865b0aa537d,9802,4
5430f8adcdfd8f74,130885,67
54a945098b6fc584,177298,132
54c82c137a86cdab,233352,94
559ebb04181bd77f,41875,70
5601d64083e9b33c,132216,60
56042fdd4168152b,83850,61
56cf44c5e127ec08,4870,2
56d77aac76ca5d45,117827,48
573b2252996bbdf8,92106,79
57d708520c34a8f6,11186,5
5800aa50f10c8c81,23126,45
583ae0a4e87f06ee,6273,4
586dd8fd90b615c6,5244,3
588eeaf909e70f10,379583,152
58b06a744d21d191,8859,5
58b7d5ea97740a30,104021,42
594bca15d75bef20,20224,11
599e390fb869dcf9,128192,106
59bfba21c0b6533e,332095,134
5a21415a731c67ff,6510,3
5a31d0eb9e3e09ea,7572,20
5acf037b93512362,132157,132
5ba6fe65c3f7f1d2,15999,7
5c09dcafe8825b93,125729,57
5c14c2f085a1f2fa,3752,2
5c6cdcef93a3eb6a,11548,14
5d3bde294be69f14,2683,3
5db546d0d865c2fe,37994,16
5df755dce20d8c50,18203,8
5efe144ccb5bbf80,35853,15
5f12aa10184be879,6144,3
5f620d2b09fc7785,6738,4
5f744925cf84a125,2669,2
5ffc8a848d529b6b,103786,108
5ffca5c5b7a80e0a,23934,22
606c6d94cfa15717,139568,56
6079d85035b72930,33406,16
60d759b02ae5bc1a,10210,8
60f08d55e1a668d0,468037,188
6138b6e94cdc1b5b,24017,10
61813bfc4303afee,674694,347
61f3e16ffeecc07e,126092,51
62a380f0643b8a3a,40537,37
631f5aefb769a13b,11777,6
6335f88fcef742a2,128712,53
647e1295dbbde2da,6673,3
649512d2adeec002,8057,4
64caac1fb58ac120,6300,3
64eb078c05c001c9,6760,16
65526d9c52247a99,25555,25
65c8436ae13d3377,9830,8
65f46c3b632759a6,93822,46
66298207d4f16e63,23940,10
66bb0a600381c417,12311,5
66cc68bd87ff4e59,138734,57
66cdd979e1cb23d2,32620,18
67f79bb5aa7be641,41536,17
6854c4228d77806d,9631,4
68af2c487942202d,3143,2
6918bb65a9bd2041,12421,5
6977471ab99d6016,21520,9
699d9630b6941513,15462,7
69f250450a1d43d2,43075,60
6adf1b195fc8d9d1,3779,2
6b7c5e34470760cc,5986,3
6b7e7404b2af85ec,4937,2
6d3827320e4d377e,252566,102
6d5c9060387e49bf,3031,2
6d76d168a930d13e,2197,1
6da050b0ac18fc12,54026,24
6dfe8bfee1828270,2414,1
6e0b88bb11f3f199,277552,115
6e16cc8822d5fcab,56868,26
6e50bb42a7856f81,816342,327
6e798fd923de9cf9,3018,2
6eb47a2519332fa5,3936,2
6ef3a916e7549179,187333,78
6f1dd1be99ae297f,43963,18
6f3cae68c523599e,4141,2
6fdf3ff0c4988c5e,115964,71
702554859485b334,25761,11
7049979dc4c0dc2f,4674,6
707915f187d0dcee,13773,6
7091c369dd91a7dd,62682,28
713fc3e2f50cd06b,12237,5
71b6a93c33601b2c,40946,17
71b974e0c83e10da,4483,2
71ca0afaec500687,7356,3
71fb1db3e20f926f,310833,194
720964390b4381c0,9166,5
72551391019c9426,66661,29
7358e438f951bdaf,443816,178
73dc282d77723dec,4961,4
73ec5573aa0cad4d,5580,5
73f86a464933c773,261146,105
73f8f8c76b05db70,10461,5
74001ea8d6b3935b,212293,85
743ae788a2fb1c06,171460,69
746883d96d4d9f1c,213988,210
74e16f1d55c081b2,25112,11
7564b06ab468eb9b,100800,55
7567221d772296c7,119276,48
7571abdc4eeb69f4,103708,42
75815e2e4dd8b249,58410,41
76168b8cbb081583,7999,4
769f7ab90b19f232,4828,3
76f73506eb157fef,31604,13
7718c18826d19fa6,178530,74
