row,doc_id,chunk_id
125,022c930c18687f91,022c930c18687f91_00069
126,022c930c18687f91,022c930c18687f91_00070
127,022c930c18687f91,022c930c18687f91_00071
128,022c930c18687f91,022c930c18687f91_00072
129,022c930c18687f91,022c930c18687f91_00073
130,022c930c18687f91,022c930c18687f91_00074
131,022c930c18687f91,022c930c18687f91_00075
132,022c930c18687f91,022c930c18687f91_00076
133,022c930c18687f91,022c930c18687f91_00077
134,022c930c18687f91,022c930c18687f91_00078
135,022c930c18687f91,022c930c18687f91_00079
136,022c930c18687f91,022c930c18687f91_00080
137,022c930c18687f91,022c930c18687f91_00081
138,022c930c18687f91,022c930c18687f91_00082
139,022c930c18687f91,022c930c18687f91_00083
140,022c930c18687f91,022c930c18687f91_00084
141,022c930c18687f91,022c930c18687f91_00085
142,022c930c18687f91,022c930c18687f91_00086
143,022c930c18687f91,022c930c18687f91_00087
144,022c930c18687f91,022c930c18687f91_00088
145,022c930c18687f91,022c930c18687f91_00089
146,022c930c18687f91,022c930c18687f91_00090
147,022c930c18687f91,022c930c18687f91_00091
148,022c930c18687f91,022c930c18687f91_00092
149,022c930c18687f91,022c930c18687f91_00093
150,022c930c18687f91,022c930c18687f91_00094
151,022c930c18687f91,022c930c18687f91_00095
152,022c930c18687f91,022c930c18687f91_00096
153,022c930c18687f91,022c930c18687f91_00097
154,022c930c18687f91,022c930c18687f91_00098
155,022c930c18687f91,022c930c18687f91_00099
156,022c930c18687f91,022c930c18687f91_00100
157,022c930c18687f91,022c930c18687f91_00101
158,022c930c18687f91,022c930c18687f91_00102
159,022c930c18687f91,022c930c18687f91_00103
160,022c930c18687f91,022c930c18687f91_00104
161,022c930c18687f91,022c930c18687f91_00105
162,022c930c18687f91,022c930c18687f91_00106
163,022c930c18687f91,022c930c18687f91_00107
164,022c930c18687f91,022c930c18687f91_00108
165,022c930c18687f91,022c930c18687f91_00109
166,022c930c18687f91,022c930c18687f91_00110
167,022c930c18687f91,022c930c18687f91_00111
168,022c930c18687f91,022c930c18687f91_00112
169,022c930c18687f91,022c930c18687f91_00113
170,022c930c18687f91,022c930c18687f91_00114
171,022c930c18687f91,022c930c18687f91_00115
172,022c930c18687f91,022c930c18687f91_00116
173,022c930c18687f91,022c930c18687f91_00117
174,022c930c18687f91,022c930c18687f91_00118
175,022c930c18687f91,022c930c18687f91_00119
